,Year,Month,State,City/County,Killed,Injured,Total
441,2020,August,South Carolina,Hilton Head Island,0,4,4
442,2020,August,Pennsylvania,Philadelphia,0,4,4
443,2020,August,Virginia,Norfolk,0,5,5
444,2020,August,New York,Rochester,0,4,4
445,2020,August,Michigan,Detroit,0,4,4
446,2020,August,California,Sacramento,1,3,4
447,2020,August,Florida,West Palm Beach,0,4,4
448,2020,August,Virginia,Richmond,1,4,5
449,2020,August,Arkansas,Pine Bluff,0,7,7
450,2020,August,New York,Brooklyn,1,3,4
451,2020,August,Tennessee,Somerville,1,4,5
452,2020,August,Colorado,Pueblo,0,6,6
453,2020,August,Illinois,Champaign,0,4,4
454,2020,August,Illinois,Chicago,0,4,4
455,2020,August,Illinois,Rockford,1,3,4
456,2020,August,Alabama,Bessemer (Hueytown),1,3,4
457,2020,August,Pennsylvania,Philadelphia,0,4,4
458,2020,August,Illinois,Chicago,0,6,6
459,2020,August,Pennsylvania,Philadelphia,1,4,5
460,2020,August,New York,Corona (Queens),0,4,4
461,2020,August,Illinois,Rockford,0,4,4
462,2020,August,Ohio,Cleveland,0,5,5
463,2020,August,New York,Brooklyn,0,4,4
464,2020,August,Texas,Dayton,3,2,5
465,2020,August,Ohio,Cincinnati,1,3,4
466,2020,August,Ohio,Cincinnati,2,9,11
467,2020,August,Kentucky,Lexington,1,3,4
468,2020,August,Ohio,Cincinnati,1,3,4
469,2020,August,Colorado,Denver,2,4,6
470,2020,August,Oklahoma,Oklahoma City,0,4,4
471,2020,August,Michigan,Belleville,4,0,4
472,2020,August,Pennsylvania,Philadelphia,0,5,5
473,2020,August,New York,Rochester,0,5,5
474,2020,August,Connecticut,New Haven,1,5,6
475,2020,August,Alabama,Troy,2,3,5
476,2020,August,New York,New York (Manhattan),0,4,4
477,2020,August,New Jersey,Newark,1,4,5
478,2020,August,Ohio,Dayton,1,3,4
479,2020,August,California,Torrance,0,5,5
480,2020,August,Colorado,Denver,0,9,9
481,2020,August,Ohio,Toledo,0,6,6
483,2020,August,Mississippi,Jackson,0,4,4
484,2020,August,Texas,Houston,0,4,4
485,2020,August,Kentucky,Paducah,1,4,5
486,2020,August,Pennsylvania,Philadelphia,0,6,6
487,2020,August,Massachusetts,Brockton,0,5,5
488,2020,August,Alabama,Birmingham (Ensley),1,5,6
489,2020,August,New York,Albany,1,3,4
490,2020,August,California,Oakland,1,3,4
491,2020,August,Illinois,Chicago,0,4,4
492,2020,August,Wisconsin,Madison,0,4,4
493,2020,August,District of Columbia,Washington,0,4,4
494,2020,August,California,Beverly Hills,1,4,5
495,2020,August,Missouri,Saint Louis,1,3,4
496,2020,August,Connecticut,Hartford,1,5,6
497,2020,August,New York,Bronx,0,4,4
498,2020,August,Pennsylvania,Philadelphia,0,4,4
499,2020,August,New Jersey,Newark,0,5,5
500,2020,August,Illinois,Chicago,1,4,5
501,2020,August,Texas,Pointblank,2,3,5
502,2020,August,Colorado,Denver,1,4,5
503,2020,August,Alabama,Montgomery,0,4,4
504,2020,July,Pennsylvania,Philadelphia,2,2,4
505,2020,July,Florida,Miami Gardens,0,5,5
506,2020,July,Florida,Tampa,0,5,5
507,2020,July,Michigan,Detroit,0,4,4
508,2020,July,Ohio,Elyria,5,0,5
509,2020,July,Missouri,Saint Louis,3,2,5
510,2020,July,Delaware,Wilmington,2,2,4
511,2020,July,Wisconsin,Milwaukee,0,4,4
512,2020,July,Washington,Federal Way,1,3,4
513,2020,July,Illinois,Chicago,1,4,5
514,2020,July,Michigan,Flint,1,3,4
515,2020,July,Texas,Mount Enterprise,0,4,4
516,2020,July,Kentucky,Louisville,1,3,4
517,2020,July,Colorado,Commerce City,1,3,4
518,2020,July,Arkansas,Magnolia,0,4,4
519,2020,July,Michigan,Flint,0,6,6
520,2020,July,North Carolina,Raleigh,0,4,4
521,2020,July,Florida,Miami,1,3,4
522,2020,July,Colorado,Denver,2,3,5
523,2020,July,Texas,Dallas,0,4,4
524,2020,July,California,Manteca,0,7,7
525,2020,July,Georgia,Atlanta,2,2,4
526,2020,July,Virginia,Fairfield,1,3,4
527,2020,July,Virginia,Petersburg,0,4,4
528,2020,July,Illinois,Chicago,2,4,6
529,2020,July,Michigan,Warren,0,4,4
530,2020,July,Illinois,Chicago,0,15,15
531,2020,July,Virginia,Richmond,1,4,5
532,2020,July,Illinois,Chicago,0,5,5
533,2020,July,Michigan,Detroit,1,3,4
534,2020,July,Illinois,Peoria,0,13,13
535,2020,July,Nebraska,Omaha,0,8,8
536,2020,July,Illinois,Chicago,2,3,5
537,2020,July,District of Columbia,Washington,1,8,9
538,2020,July,Michigan,Detroit,4,0,4
539,2020,July,Illinois,Chicago,1,4,5
540,2020,July,Ohio,Columbus,0,4,4
541,2020,July,Florida,Madison,0,4,4
542,2020,July,Tennessee,Nashville,0,5,5
543,2020,July,Louisiana,Shreveport,1,3,4
544,2020,July,New York,Brooklyn,1,5,6
545,2020,July,Missouri,Saint Joseph,0,5,5
546,2020,July,North Carolina,Durham,0,8,8
547,2020,July,New York,Brooklyn,0,6,6
548,2020,July,Kentucky,Louisville,1,3,4
549,2020,July,Washington,Kent,0,6,6
550,2020,July,Louisiana,Baton Rouge,1,7,8
551,2020,July,New York,Brooklyn,1,3,4
552,2020,July,Michigan,Lansing,0,5,5
553,2020,July,Florida,Fort Lauderdale,2,2,4
554,2020,July,Illinois,Chicago,1,3,4
555,2020,July,Illinois,Chicago,1,4,5
556,2020,July,Mississippi,Como,2,4,6
557,2020,July,New York,Rochester,0,6,6
558,2020,July,Delaware,Wilmington,0,5,5
559,2020,July,Virginia,Alexandria,0,5,5
560,2020,July,New Jersey,Paterson,4,3,7
561,2020,July,Illinois,Chicago,0,6,6
562,2020,July,Illinois,Chicago,0,4,4
563,2020,July,Iowa,Davenport,1,3,4
564,2020,July,New York,New York (Manhattan),0,5,5
565,2020,July,South Carolina,Greenville,2,8,10
566,2020,July,Arkansas,Helena,1,3,4
567,2020,July,Georgia,Atlanta,2,13,15
568,2020,July,Missouri,Columbia,2,3,5
569,2020,July,Wisconsin,Milwaukee,0,4,4
570,2020,July,Texas,Houston,0,4,4
571,2020,July,Maryland,Cambridge,0,4,4
572,2020,July,Illinois,Chicago,1,5,6
573,2020,July,Pennsylvania,Ephrata,0,4,4
574,2020,July,Illinois,Freeport,1,5,6
575,2020,July,Mississippi,Greenville,0,4,4
576,2020,July,Michigan,Detroit,2,4,6
577,2020,July,South Carolina,Red Oak,0,5,5
578,2020,July,Maryland,Temple Hills (Marlow Heights),1,3,4
579,2020,July,Georgia,Atlanta,0,5,5
580,2020,July,Massachusetts,Lynn,1,4,5
581,2020,July,Illinois,Chicago,1,3,4
582,2020,July,Illinois,Chicago,4,4,8
583,2020,July,Louisiana,Baton Rouge,0,4,4
584,2020,July,Mississippi,Jackson,1,3,4
585,2020,July,Alabama,Birmingham (Hoover),1,3,4
586,2020,July,Maryland,Baltimore,0,4,4
587,2020,July,California,Delano,2,3,5
588,2020,July,Massachusetts,Somerville,0,4,4
589,2020,July,New Jersey,Paterson,1,4,5
590,2020,July,California,Oakland,0,4,4
591,2020,July,Louisiana,Lake Charles,0,4,4
592,2020,June,Iowa,Davenport,0,5,5
593,2020,June,Georgia,Atlanta,1,4,5
594,2020,June,Massachusetts,Boston,1,3,4
595,2020,June,Illinois,Chicago,0,4,4
596,2020,June,Ohio,Dayton,0,4,4
597,2020,June,Arkansas,Greenbrier,0,4,4
598,2020,June,California,Sylmar,0,4,4
599,2020,June,South Dakota,Sioux Falls,1,3,4
600,2020,June,Pennsylvania,Philadelphia,2,2,4
601,2020,June,Alabama,Akron,0,7,7
602,2020,June,Illinois,Chicago,2,2,4
603,2020,June,California,Red Bluff,3,4,7
604,2020,June,Illinois,Peoria,0,4,4
605,2020,June,New York,Brooklyn,0,4,4
606,2020,June,Arkansas,Blytheville,3,1,4
607,2020,June,Colorado,Aurora,0,5,5
608,2020,June,California,Fresno,0,4,4
609,2020,June,Arizona,Phoenix,0,4,4
610,2020,June,Pennsylvania,Philadelphia,0,4,4
611,2020,June,Connecticut,Bridgeport,1,3,4
612,2020,June,Tennessee,Jackson,0,4,4
613,2020,June,Illinois,Chicago,0,4,4
614,2020,June,Florida,Lake Worth,0,5,5
615,2020,June,North Carolina,Charlotte,4,5,9
616,2020,June,California,San Francisco,0,5,5
617,2020,June,New York,Brooklyn,0,5,5
618,2020,June,Minnesota,Minneapolis,0,4,4
619,2020,June,Minnesota,Minneapolis,0,4,4
620,2020,June,Illinois,Chicago,0,5,5
621,2020,June,Illinois,Chicago,0,4,4
622,2020,June,Ohio,Columbus,1,4,5
623,2020,June,New York,Buffalo,0,4,4
624,2020,June,Texas,Austin,0,5,5
625,2020,June,Minnesota,Minneapolis,0,11,11
626,2020,June,Alabama,Auburn,0,4,4
627,2020,June,Texas,Corpus Christi,1,3,4
628,2020,June,Wisconsin,Milwaukee,0,5,5
629,2020,June,Illinois,Chicago,1,3,4
630,2020,June,New York,Bronx,0,4,4
631,2020,June,New York,Syracuse,1,8,9
632,2020,June,Michigan,Detroit,0,4,4
633,2020,June,Michigan,Saginaw,1,3,4
634,2020,June,Wisconsin,Janesville,0,5,5
635,2020,June,North Carolina,Pinetops,2,2,4
636,2020,June,New Jersey,Jersey City,1,4,5
637,2020,June,Kansas,Wichita,0,5,5
638,2020,June,New York,Bronx,0,4,4
639,2020,June,New York,Albany,0,7,7
640,2020,June,Illinois,Chicago,0,4,4
641,2020,June,Iowa,Fort Dodge,2,2,4
642,2020,June,Illinois,Chicago,0,4,4
643,2020,June,Minnesota,Minneapolis,1,6,7
644,2020,June,Kentucky,Louisville,1,4,5
645,2020,June,Louisiana,Lafayette,0,5,5
646,2020,June,Louisiana,Lake Charles,0,4,4
647,2020,June,Louisiana,New Orleans,2,2,4
648,2020,June,Arkansas,Rison,0,4,4
649,2020,June,California,Hesperia,0,5,5
650,2020,June,Missouri,Saint Louis,2,4,6
651,2020,June,New York,Wyandanch,1,7,8
652,2020,June,Maryland,Baltimore,0,5,5
653,2020,June,Georgia,Atlanta,2,5,7
654,2020,June,District of Columbia,Washington,2,5,7
655,2020,June,Pennsylvania,Philadelphia,0,6,6
656,2020,June,New York,Bronx,1,3,4
657,2020,June,Texas,San Antonio,0,8,8
658,2020,June,Virginia,Richmond,0,4,4
659,2020,June,District of Columbia,Washington,0,7,7
660,2020,June,Louisiana,Monroe,6,0,6
661,2020,June,Texas,Houston,2,4,6
662,2020,June,California,Sacramento,1,4,5
663,2020,June,Ohio,Toledo,1,3,4
664,2020,June,California,Paso Robles,2,4,6
665,2020,June,North Carolina,Scotland Neck,0,5,5
666,2020,June,Pennsylvania,Philadelphia,1,6,7
667,2020,June,California,Vallejo,2,3,5
668,2020,June,New York,Brooklyn,0,4,4
669,2020,June,Tennessee,Memphis,0,4,4
670,2020,June,Arkansas,Hope,0,5,5
671,2020,June,Illinois,Robbins,1,3,4
672,2020,June,Missouri,Sikeston,2,7,9
673,2020,June,Tennessee,Dyersburg,0,5,5
674,2020,June,Illinois,Chicago,1,3,4
675,2020,June,Illinois,Chicago,0,6,6
676,2020,June,Missouri,Kansas City,1,4,5
677,2020,June,Mississippi,Drew,0,5,5
678,2020,June,California,Sacramento,1,4,5
679,2020,June,Ohio,Ironton,0,4,4
680,2020,June,Colorado,Denver,0,4,4
681,2020,June,Alabama,Valhermoso Springs,7,0,7
682,2020,June,Texas,Dallas,1,3,4
683,2020,June,Wisconsin,Racine,0,5,5
684,2020,June,Illinois,Chicago,0,4,4
685,2020,June,Missouri,Saint Louis,0,4,4
686,2020,May,Mississippi,Gulfport,1,5,6
687,2020,May,Pennsylvania,Philadelphia,0,4,4
688,2020,May,New Jersey,Paterson,0,4,4
689,2020,May,District of Columbia,Washington,0,4,4
690,2020,May,Texas,Houston,1,4,5
691,2020,May,Florida,Altha,2,4,6
692,2020,May,North Carolina,Gastonia,1,5,6
693,2020,May,Virginia,Portsmouth,0,5,5
694,2020,May,Kentucky,Louisville,0,7,7
695,2020,May,Tennessee,Memphis,0,4,4
696,2020,May,Pennsylvania,Philadelphia,1,3,4
697,2020,May,Massachusetts,Boston,1,4,5
698,2020,May,Ohio,Cleveland,1,3,4
699,2020,May,California,San Jose,0,5,5
700,2020,May,Pennsylvania,Philadelphia,0,4,4
701,2020,May,Mississippi,Vicksburg,0,4,4
702,2020,May,Pennsylvania,Philadelphia,0,4,4
703,2020,May,Illinois,Chicago,2,2,4
704,2020,May,California,Los Angeles,0,5,5
705,2020,May,South Carolina,Bowman,3,5,8
706,2020,May,Louisiana,Lake Charles,0,6,6
707,2020,May,Missouri,Saint Louis,0,4,4
708,2020,May,Alabama,Danville,3,1,4
709,2020,May,South Carolina,Myrtle Beach,0,4,4
710,2020,May,Texas,Houston,0,4,4
711,2020,May,Illinois,Rock Island,1,4,5
712,2020,May,South Carolina,Jonesville,2,5,7
713,2020,May,North Carolina,Charlotte,0,6,6
714,2020,May,Michigan,Flint,1,3,4
715,2020,May,Florida,Fort Lauderdale (Lauderhill),0,5,5
716,2020,May,Florida,Daytona Beach,0,6,6
717,2020,May,Illinois,Chicago,1,3,4
718,2020,May,Mississippi,Jackson,1,4,5
719,2020,May,Ohio,Cleveland,1,3,4
720,2020,May,Texas,Houston,2,3,5
721,2020,May,Illinois,Decatur,0,5,5
722,2020,May,California,Bakersfield,0,5,5
723,2020,May,South Carolina,Charleston,0,4,4
724,2020,May,Maryland,District Heights,1,3,4
725,2020,May,South Carolina,Saint Matthews,4,1,5
726,2020,May,Louisiana,Bogalusa,0,13,13
727,2020,May,Florida,Gainesville,0,5,5
728,2020,May,Pennsylvania,Philadelphia,0,4,4
729,2020,May,New Mexico,Albuquerque,0,5,5
730,2020,May,Illinois,Rockford,1,4,5
731,2020,May,Kentucky,Garrison,1,4,5
732,2020,May,Tennessee,Memphis,0,4,4
733,2020,May,Alabama,Montgomery,0,4,4
734,2020,May,Louisiana,Baton Rouge,0,5,5
735,2020,May,Texas,Fort Worth,0,5,5
736,2020,May,Texas,Katy,0,6,6
737,2020,May,Missouri,Saint Louis,0,4,4
738,2020,May,Maryland,Baltimore,0,4,4
739,2020,May,Texas,Houston,3,1,4
740,2020,May,Georgia,Albany,1,3,4
741,2020,May,Tennessee,Memphis,2,2,4
742,2020,May,Ohio,Columbus,0,4,4
743,2020,May,Florida,Jacksonville,1,3,4
744,2020,May,Illinois,Chicago,0,5,5
745,2020,May,Pennsylvania,Philadelphia,0,4,4
746,2020,April,Indiana,Indianapolis,0,4,4
747,2020,April,Wisconsin,Milwaukee,5,0,5
748,2020,April,New York,Troy,0,4,4
749,2020,April,North Carolina,Salisbury,1,4,5
750,2020,April,Florida,Orlando,1,4,5
751,2020,April,Tennessee,Memphis,0,7,7
752,2020,April,Texas,Houston,3,1,4
753,2020,April,Indiana,Fort Wayne,0,4,4
754,2020,April,Maryland,Hyattsville,2,2,4
755,2020,April,North Carolina,Greensboro,1,3,4
756,2020,April,Massachusetts,Springfield,1,4,5
757,2020,April,Pennsylvania,Philadelphia,0,4,4
758,2020,April,Mississippi,Jackson,1,3,4
759,2020,April,California,Bakersfield,0,6,6
760,2020,April,Michigan,Muskegon,0,4,4
761,2020,April,Michigan,Detroit,0,4,4
762,2020,April,South Carolina,Greenwood,1,3,4
763,2020,April,Alaska,Anchorage,0,4,4
764,2020,April,Illinois,Chicago,1,3,4
765,2020,April,New York,Brooklyn,0,4,4
766,2020,April,California,Los Angeles,1,3,4
767,2020,April,South Carolina,Lancaster,1,4,5
768,2020,April,Texas,Vidor,0,4,4
769,2020,April,Texas,Lubbock,2,2,4
770,2020,April,Florida,Hialeah,1,4,5
771,2020,April,Kentucky,Louisville,0,4,4
772,2020,March,Georgia,Macon,3,1,4
773,2020,March,Pennsylvania,Philadelphia,0,5,5
774,2020,March,Georgia,Atlanta,0,4,4
775,2020,March,Maryland,Baltimore,1,3,4
776,2020,March,Texas,San Antonio,0,4,4
777,2020,March,South Carolina,Hanahan,0,4,4
778,2020,March,Virginia,Norfolk,0,4,4
779,2020,March,Missouri,Saint Louis,0,4,4
780,2020,March,Florida,Jacksonville,1,4,5
781,2020,March,Maryland,Baltimore,0,7,7
782,2020,March,North Carolina,Moncure,7,0,7
783,2020,March,Missouri,Springfield,5,2,7
784,2020,March,Michigan,Saginaw,2,2,4
785,2020,March,New Mexico,Albuquerque,1,3,4
786,2020,March,Illinois,Rockford,0,4,4
787,2020,March,Louisiana,New Orleans (Algiers),0,5,5
788,2020,March,Pennsylvania,Chester,2,2,4
789,2020,March,Maryland,Rosedale,1,5,6
790,2020,March,Illinois,South Holland,0,4,4
791,2020,March,California,Ceres,1,3,4
792,2020,March,Ohio,Cleveland,1,18,19
793,2020,March,New Mexico,Albuquerque,0,4,4
794,2020,March,Illinois,Chicago,0,7,7
795,2020,March,District of Columbia,Washington,0,6,6
796,2020,March,California,Tulare,1,5,6
797,2020,February,Missouri,Kansas City,1,4,5
798,2020,February,Colorado,Brighton,0,5,5
799,2020,February,Wisconsin,Milwaukee,6,0,6
800,2020,February,Illinois,Chicago,1,4,5
801,2020,February,North Carolina,Clarkton,3,1,4
802,2020,February,Texas,Houston,0,7,7
803,2020,February,Idaho,Caldwell,2,3,5
804,2020,February,North Carolina,Greensboro,0,4,4
805,2020,February,Mississippi,Port Gibson,2,2,4
806,2020,February,Connecticut,Hartford,1,5,6
807,2020,February,Florida,Pensacola,1,4,5
808,2020,February,Louisiana,New Orleans,0,4,4
809,2020,February,Tennessee,Memphis,0,7,7
810,2020,February,Illinois,Chicago,0,6,6
811,2020,February,Delaware,Dover,1,4,5
812,2020,February,Texas,Houston,1,3,4
813,2020,February,Indiana,Indianapolis,4,0,4
814,2020,February,Maine,Machias,3,1,4
815,2020,February,California,Lebec,1,5,6
